id,source,target,interaction,edge label,Alpha,Beta,order
N0N3N37,N0,N3,N0N3N37,N0N3N37,Alpha,None,3
N0N3N37,N3,N37,N0N3N37,N0N3N37,Alpha,None,3
N0N3N37,N0,N37,N0N3N37,N0N3N37,Alpha,None,3
N0N6N19,N0,N6,N0N6N19,N0N6N19,Alpha,None,3
N0N6N19,N6,N19,N0N6N19,N0N6N19,Alpha,None,3
N0N6N19,N0,N19,N0N6N19,N0N6N19,Alpha,None,3
N0N6M1T3,N0,N6,N0N6M1T3,N0N6M1T3,Alpha,None,3
N0N6M1T3,N6,M1T3,N0N6M1T3,N0N6M1T3,Alpha,None,3
N0N6M1T3,N0,M1T3,N0N6M1T3,N0N6M1T3,Alpha,None,3
N0N17M0P1,N0,N17,N0N17M0P1,N0N17M0P1,Alpha,None,3
N0N17M0P1,N17,M0P1,N0N17M0P1,N0N17M0P1,Alpha,None,3
N0N17M0P1,N0,M0P1,N0N17M0P1,N0N17M0P1,Alpha,None,3
N0N20N34,N0,N20,N0N20N34,N0N20N34,Alpha,None,3
N0N20N34,N20,N34,N0N20N34,N0N20N34,Alpha,None,3
N0N20N34,N0,N34,N0N20N34,N0N20N34,Alpha,None,3
N0N22M2Q3,N0,N22,N0N22M2Q3,N0N22M2Q3,Alpha,None,3
N0N22M2Q3,N22,M2Q3,N0N22M2Q3,N0N22M2Q3,Alpha,None,3
N0N22M2Q3,N0,M2Q3,N0N22M2Q3,N0N22M2Q3,Alpha,None,3
N0N24M1T1,N0,N24,N0N24M1T1,N0N24M1T1,Alpha,None,3
N0N24M1T1,N24,M1T1,N0N24M1T1,N0N24M1T1,Alpha,None,3
N0N24M1T1,N0,M1T1,N0N24M1T1,N0N24M1T1,Alpha,None,3
N0N26M1T3,N0,N26,N0N26M1T3,N0N26M1T3,Alpha,None,3
N0N26M1T3,N26,M1T3,N0N26M1T3,N0N26M1T3,Alpha,None,3
N0N26M1T3,N0,M1T3,N0N26M1T3,N0N26M1T3,Alpha,None,3
