Pathway ID	Description	Parent(s)	p-Value	Genes Involved	Variation IDs
R-HSA-8934593	Regulation of RUNX1 Expression and Activity	Gene expression (Transcription)	0.000468	CCND3,TNRC6A,RUNX1	rs41513350,rs4607417,rs9930029
R-HSA-8851680	Butyrophilin (BTN) family interactions	Immune System	0.000552	BTN3A1,BTN3A3,BTN2A1	rs10456045,rs2237236,rs7763910
R-HSA-8875878	MET promotes cell motility	Signal Transduction	0.000601	TNS3,LAMA2,ITGA2,COL27A1	rs10265492,rs43188,rs4979354,rs9375615
R-HSA-112315	Transmission across Chemical Synapses	Neuronal System	0.000603	ALDH2,PRKAG2,GRIA1,GABRA6,APBA1,SYN3,CACNB2,ADCY8,HTR3B	rs10035262,rs10744777,rs11138830,rs1176738,rs1176739,rs1176740,rs1176741,rs135475,rs1435447,rs17116117,rs17116145,rs4237348,rs7780008,rs9313891
R-HSA-8874081	MET activates PTK2 signaling	Signal Transduction	0.003105	LAMA2,ITGA2,COL27A1	rs43188,rs4979354,rs9375615
R-HSA-112316	Neuronal System	Neuronal System	0.003395	CACNB2,ALDH2,PRKAG2,GRIA1,GABRA6,APBA1,SYN3,ADCY8,NRXN2,HTR3B	rs10035262,rs10744777,rs11138830,rs1176738,rs1176739,rs1176740,rs1176741,rs135475,rs1435447,rs17116117,rs17116145,rs4237348,rs480617,rs7780008,rs9313891
R-HSA-6806834	Signaling by MET	Signal Transduction	0.005772	TNS3,LAMA2,ITGA2,COL27A1	rs10265492,rs43188,rs4979354,rs9375615
R-HSA-442755	Activation of NMDA receptors and postsynaptic events	Neuronal System	0.007967	GRIA1,PRKAG2,APBA1,ADCY8	rs10035262,rs11138830,rs1435447,rs7780008
R-HSA-5609974	Defective PGM1 causes PGM1-CDG (CDG1t)	Disease	0.008663	PGM1	rs11208264,rs2269238,rs2269239,rs2269241,rs3790857,rs4643
R-HSA-5619052	Defective SLC9A9 causes autism 16 (AUTS16)	Disease	0.008663	SLC9A9	rs1135438
R-HSA-5682294	Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B	Disease	0.008663	ABCA12	rs1409612
R-HSA-164378	PKA activation in glucagon signalling	Metabolism	0.009283	GNAS,ADCY8	rs1435447,rs919197
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	Neuronal System	0.009536	PRKAG2,GRIA1,GABRA6,APBA1,ADCY8,HTR3B	rs10035262,rs11138830,rs1176738,rs1176739,rs1176740,rs1176741,rs1435447,rs17116117,rs17116145,rs7780008,rs9313891
R-HSA-168249	Innate Immune System	Immune System	0.011888	RAB5B,GM2A,PGM1	rs11208264,rs17659728,rs1873914,rs2269238,rs2269239,rs2269241,rs3790857,rs4643,rs705698
R-HSA-2028269	Signaling by Hippo	Signal Transduction	0.012753	YWHAE,MOB1A	rs11126425,rs16945811
R-HSA-163685	Integration of energy metabolism	Metabolism	0.016628	GNAS,CACNB2,PRKAG2,ADCY8	rs1435447,rs4237348,rs7780008,rs919197
R-HSA-212676	Dopamine Neurotransmitter Release Cycle	Neuronal System	0.016698	APBA1,SYN3	rs11138830,rs135475
R-HSA-3642279	TGFBR2 MSI Frameshift Mutants in Cancer	Disease	0.017252	TGFBR2	rs17025857
R-HSA-380612	Metabolism of serotonin	Neuronal System	0.017252	ALDH2	rs10744777
R-HSA-5682113	Defective ABCA1 causes Tangier disease	Disease	0.017252	ABCA1	rs12686004
R-HSA-8936459	RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	Gene expression (Transcription)	0.022720	HIST1H2BN,TNRC6A,RUNX1	rs200991,rs200995,rs201002,rs41513350,rs9930029
R-HSA-3642278	Loss of Function of TGFBR2 in Cancer	Disease	0.025768	TGFBR2	rs17025857
R-HSA-3645790	TGFBR2 Kinase Domain Mutants in Cancer	Disease	0.025768	TGFBR2	rs17025857
R-HSA-380615	Serotonin clearance from the synaptic cleft	Neuronal System	0.025768	ALDH2	rs10744777
R-HSA-8951911	RUNX3 regulates RUNX1-mediated transcription	Gene expression (Transcription)	0.025768	RUNX1	rs41513350
