Variation ID	Chromosome	GAD ID	Association	Associated SNPs	Phenotype	Disease Class	Gene	Reference	PubMed	p-Value	Population	Entrez Gene
rs7539261	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs7539261	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs7539261	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs7539261	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs7539261	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs17113557	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs17113557	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs17113557	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs17113557	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs17113557	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs17113557	chr1	714903	Y	rs12131461	Body Mass Index	METABOLIC	DIO1		0	0.00		1733
rs2269241	chr1	719751	Y	rs10927873	Heart Failure	CARDIOVASCULAR	SPEN		0	0.00		23013
rs2269241	chr1	721327	Y	rs10799771	Insulin	METABOLIC	EPHB2		0	0.00		2048
rs2269241	chr1	721474	Y	rs10799771	Insulin Resistance	METABOLIC	EPHB2		0	0.00		2048
rs2269241	chr1	727342	Y	rs563978	Tunica Media	CARDIOVASCULAR	PTP4A2		0	0.00		8073
rs2269241	chr1	747900	Y	rs3748682	Hypothyroidism	METABOLIC	MTF1	Nicholas Eriksson et al. PloS one 2012	22493691	0.00		4520
rs2269241	chr1	707904			Birth Weight|Body Weight|Diabetes mellitus type II|Diabetes Mellitus, Type 2	UNKNOWN	PGM1	Fulvia Gloria-Bottini  et al.  2007	18091362			5236
