Variation ID	Position	Chromosome	Region Start	Region End	Element RS Score	Base RS Score
rs11009231	33402524	chr10	33402155	33402641	966.4	1.97000
rs10500664	6685558	chr11	6685459	6686062	936.9	0.62700
rs16933680	16935949	chr11	16935904	16936006	184.5	-2.96000
rs17610557	113513499	chr11	113513392	113513541	335.5	4.13000
rs1633550	113669205	chr11	113669171	113669265	116.3	3.05000
rs17116117	113801591	chr11	113801561	113803187	2277.6	-2.97000
rs1176740	113807396	chr11	113807378	113807916	2077.1	-2.07000
rs1176739	113807817	chr11	113807378	113807916	2077.1	5.44000
rs705698	56384687	chr12	56384455	56385255	1580.3	3.17000
rs12296139	61131421	chr12	61131342	61131567	132.4	-0.61100
rs10859739	95016969	chr12	95016818	95016989	362.2	2.47000
rs11110901	102030113	chr12	102029524	102030681	2514.0	2.33000
rs17696736	112486818	chr12	112486016	112488014	3419.9	-1.42000
rs17699419	97515455	chr13	97515296	97515690	909.7	1.24000
rs1052912	103603653	chr14	103603641	103603805	110.0	2.16000
rs17237810	61508186	chr15	61507986	61508742	1670.9	1.33000
rs8095920	68426681	chr18	68426624	68426920	492.8	2.57000
rs6706577	111796833	chr2	111796368	111796979	1434.0	4.29000
rs10187034	111812617	chr2	111812505	111812644	254.2	4.54000
rs2691787	156466403	chr2	156466340	156467091	2558.4	4.57000
rs4361128	215768445	chr2	215768432	215768560	175.3	-0.98800
rs6075643	20298392	chr20	20298192	20298636	912.7	3.63000
rs7264923	58923936	chr20	58923775	58924040	548.0	3.17000
rs17245482	49681255	chr22	49681139	49681266	184.1	0.17900
rs6799147	1510822	chr3	1510616	1511161	703.5	-10.70000
rs9874351	21481230	chr3	21481159	21481364	296.1	3.39000
rs6441961	46352384	chr3	46352143	46353413	1665.1	2.48000
rs2399399	111637904	chr3	111637897	111638068	531.7	2.43000
rs1542487	174956762	chr3	174956614	174957126	1735.0	5.27000
rs6894569	71368999	chr5	71368933	71369041	90.7	-3.33000
rs249900	146212913	chr5	146212898	146213524	978.3	3.99000
rs3776069	149315287	chr5	149315226	149315291	90.4	1.14000
rs2112594	179744009	chr5	179743959	179744062	406.3	-11.80000
rs6900557	21514238	chr6	21514063	21514275	371.0	-5.81000
rs203887	28021269	chr6	28021052	28021972	467.4	0.74400
rs203888	28021589	chr6	28021052	28021972	467.4	3.32000
rs1225709	28103648	chr6	28103633	28104032	143.6	1.19000
rs4607417	41978274	chr6	41978114	41978430	537.2	0.24600
rs3735361	42000924	chr7	42000548	42000955	1137.6	2.19000
rs1058425	80387766	chr7	80387641	80388175	1167.6	4.05000
rs1880959	80427495	chr7	80427401	80427560	605.0	2.76000
rs2889135	55245138	chr8	55245077	55245196	127.6	3.09000
rs10504164	55257452	chr8	55257355	55257514	517.3	-8.97000
rs16888486	117535199	chr8	117533861	117535555	2503.2	3.78000
rs4741389	14517555	chr9	14515877	14517746	6261.2	4.98000
rs1333051	22136489	chr9	22136295	22137024	2309.0	4.32000
rs7027501	89612224	chr9	89612147	89612425	694.1	5.53000
