Variation ID	Chromosome	Chrom Start	Chrom End	Type	Reference	PubMed	Method	Sample	Gain	Loss
rs7539261	chr1	39970954	40104514	loss	Wong et al 2007	17160897	BAC aCGH	95	0	2
rs41515647	chr1	77425570	77584307	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs1264882	chr1	111737915	112062212	loss	Cooper et al 2011	21841781	Oligo aCGH, SNP array	17421	0	1
rs1264882	chr1	111737915	112062212	loss	Itsara et al 2009	19166990	Oligo aCGH, SNP array	1557	0	1
rs1264882	chr1	111957018	111964312	loss	Park et al 2010	20364138	Oligo aCGH	31	0	1
rs4456089	chr1	113813721	114138767	gain	Uddin et al 2014	25503493	SNP array	873	1	0
rs4456089	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs4456089	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs4456089	chr1	114065954	114129092	loss	Conrad et al 2006	16327808	Oligo aCGH, SNP array	60	0	1
rs4456089	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs17013326	chr1	113813721	114138767	gain	Uddin et al 2014	25503493	SNP array	873	1	0
rs17013326	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs17013326	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs17013326	chr1	114065954	114129092	loss	Conrad et al 2006	16327808	Oligo aCGH, SNP array	60	0	1
rs17013326	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1113523	chr1	113813721	114138767	gain	Uddin et al 2014	25503493	SNP array	873	1	0
rs1113523	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1113523	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1113523	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217227	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1217227	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217227	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217227	chr1	114135132	114206843	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs1217226	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1217226	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217226	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217226	chr1	114135132	114206843	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs1217200	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1217200	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217200	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217200	chr1	114135132	114206843	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs1230666	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1230666	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1230666	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1230666	chr1	114135132	114206843	loss	Coe et al 2014	25217958	Oligo aCGH, SNP array	29084	0	1
rs1230658	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1230658	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1230658	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1230649	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1230649	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1230649	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1230649	chr1	114241656	114265871	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	2
rs6679677	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs6679677	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs6679677	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs6679677	chr1	114254166	114378235	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
rs1217396	chr1	113862951	114901117	loss	Conrad et al 2009	19812545	Oligo aCGH	40	0	2
rs1217396	chr1	114053473	114409284	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217396	chr1	114075867	114701532	loss	1000 Genomes Consortium Phase 3	21293372	Sequencing	2504	0	1
rs1217396	chr1	114254166	114378235	loss	Wong et al 2007	17160897	BAC aCGH	95	0	1
