Alpha,Beta,Distance_to_nearest_downstream_x,Distance_to_nearest_upstream_x,Downstream_nearest_genomic_feature_x,Known_Phenotype_x,MAF_x,Overlap_x,Overlap_details_x,Overlapping_genetic_feature_name_x,Rank_x,Synonymous_x,Upstream_nearest_genomic_feature_x,id,name,order,reason to exist,count,Overlap_y,Overlap_details_y,Known_Phenotype_y,Synonymous_y,Upstream_nearest_genomic_feature_y,Downstream_nearest_genomic_feature_y,Distance_to_nearest_upstream_y,Distance_to_nearest_downstream_y,Overlapping_genetic_feature_name_y,MAF_y,Rank_y
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M0P2,M0P2,1,Presentation,23,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M0P1M0P2,M0P1M0P2,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18M1T3,N18M1T3,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6,N6,1,Presentation,19,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N6N11,N6N11,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N36,N7N36,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M1T2M2Q2,M1T2M2Q2,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7M1T3,N7M1T3,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7,N7,1,Presentation,14,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N7N31,N7N31,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M0P1,M0P1,1,Presentation,34,Non_coding,tRNA,None,None,Temp_Feature9,Temp_Feature20,0.1111,1.19,2.9,Gene_name9,9.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N38M0P1,N38M0P1,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N2N11,N2N11,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M2Q3,M2Q3,1,Presentation,42,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N31M2Q3,N31M2Q3,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N5,N5,1,Presentation,1,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N30,N30,1,Presentation,16,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N5N30,N5N30,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N15N31,N15N31,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N18N35,N18N35,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N33,N33,1,Presentation,16,Non_coding,LNC,None,Synonymous,Temp_Feature10,Temp_Feature21,0.1112,1.21,2.12,Gene_name10,10.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N33M1T3,N33M1T3,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M1T2,M1T2,1,Presentation,33,Protein_coding,Promoter,None,Non_Synonymous,Temp_Feature2,Temp_Feature13,0.113,1.12,2.2,Gene_name2,2.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16M1T2,N16M1T2,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N39,N39,1,Presentation,19,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N12N39,N12N39,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N38,N38,1,Presentation,23,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N9N38,N9N38,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N35,N35,1,Presentation,24,Protein_coding,3_UTR,None,Synonymous,Temp_Feature4,Temp_Feature15,0.115,1.14,2.4,Gene_name4,4.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N20N35,N20N35,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N24N36,N24N36,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16,N16,1,Presentation,17,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N16M2Q1,N16M2Q1,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26,N26,1,Presentation,15,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,M2Q1,M2Q1,1,Presentation,29,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N26M2Q1,N26M2Q1,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N36,N36,1,Presentation,28,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N11N36,N11N36,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N19,N19,1,Presentation,14,None,None,None,None,None,None,None,None,None,None,None
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N37,N37,1,Presentation,29,Non_coding,rRNA,None,Non_Synonymous,Temp_Feature8,Temp_Feature19,0.119,1.18,2.8,Gene_name8,8.0
Alpha,None,None,None,None,None,None,None,None,None,None,None,None,N19N37,N19N37,2,Presentation,None,None,None,None,None,None,None,None,None,None,None,None
