Variation ID	Chromosome	Region Start	Region End	Feature Type Class	Feature Type	Epigenome
rs7539261	chr1	40050280	40050540	Histone	H3K27me3	iPS 20b
rs7539261	chr1	40050420	40051220	Histone	H3K27me3	endodermal cell
rs7539261	chr1	40050420	40050680	Histone	H3K27me3	HUES6
rs17113557	chr1	56718660	56725437	Histone	H3K27ac	Placenta
rs17113557	chr1	56719020	56719340	Histone	H3K9me3	neural stem progenitor cell
rs17113557	chr1	56719180	56720500	Histone	H3K4me1	neural stem progenitor cell
rs17113557	chr1	56719180	56720380	Histone	H3K4me1	neuron
rs2269241	chr1	64099620	64110300	Histone	H3K36me3	HUES6
rs2269241	chr1	64099680	64109900	Histone	H3K36me3	endodermal cell
rs2269241	chr1	64099680	64110040	Histone	H3K36me3	Natural Killer cells (PB)
rs2269241	chr1	64102900	64109760	Histone	H3K36me3	T cells (PB) Roadmap
rs2269241	chr1	64105120	64109837	Histone	H3K27ac	Fetal Intestine Small
rs2269241	chr1	64105674	64109808	Histone	H3K27ac	Fetal Intestine Large
rs2269241	chr1	64106580	64110240	Histone	H3K36me3	HUES64
rs2269241	chr1	64106880	64110980	Histone	H3K36me3	common myeloid progenitor CD34 positive
rs2269241	chr1	64106880	64110220	Histone	H3K4me1	Fetal Muscle Leg
rs2269241	chr1	64106880	64110800	Histone	H3K36me3	Fetal Adrenal Gland
rs2269241	chr1	64107140	64110340	Histone	H3K4me1	Fetal Intestine Small
rs2269241	chr1	64107300	64110140	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR337XXD 1
rs2269241	chr1	64107400	64110380	Histone	H3K36me3	neutrophil
rs2269241	chr1	64107700	64111860	Histone	H3K4me1	heart
rs2269241	chr1	64108460	64110140	Histone	H3K36me3	IMR 90
rs2269241	chr1	64108480	64110500	Histone	H3K36me3	Placenta
rs2269241	chr1	64108520	64110100	Histone	H3K36me3	Fetal Muscle Leg
rs2269241	chr1	64108520	64112220	Histone	H3K4me1	lung ENCSR465WKM
rs2269241	chr1	64108520	64110160	Histone	H3K4me1	Fetal Intestine Large
rs2269241	chr1	64108520	64110060	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR722JRY
rs2269241	chr1	64108520	64108780	Histone	H3K4me1	Gastric
rs2269241	chr1	64108520	64110180	Histone	H3K36me3	Fetal Stomach
rs2269241	chr1	64108580	64110080	Histone	H3K4me1	Pancreas
rs2269241	chr1	64108620	64109080	Histone	H3K36me3	iPS DF 19.11
rs2269241	chr1	64108625	64110086	Open Chromatin	DNase1	heart
rs2269241	chr1	64108640	64110100	Histone	H3K36me3	Fetal Intestine Small
rs2269241	chr1	64108640	64109380	Histone	H3K4me1	Psoas Muscle
rs2269241	chr1	64108652	64110067	Histone	H3K27ac	Fetal Stomach
rs2269241	chr1	64108660	64110060	Histone	H3K36me3	Spleen
rs2269241	chr1	64108660	64109800	Histone	H3K36me3	esophagus
rs2269241	chr1	64108660	64108860	Histone	H3K36me3	Left Ventricle
rs2269241	chr1	64108660	64109040	Histone	H3K36me3	HUES48
rs2269241	chr1	64108680	64109029	Histone	H3K4me3	Lung
rs2269241	chr1	64108680	64109440	Histone	H3K36me3	Fetal Intestine Large
rs2269241	chr1	64108682	64109491	Histone	H3K27ac	Small Intestine
rs2269239	chr1	64099620	64110300	Histone	H3K36me3	HUES6
rs2269239	chr1	64099680	64109900	Histone	H3K36me3	endodermal cell
rs2269239	chr1	64099680	64110040	Histone	H3K36me3	Natural Killer cells (PB)
rs2269239	chr1	64102900	64109760	Histone	H3K36me3	T cells (PB) Roadmap
rs2269239	chr1	64105120	64109837	Histone	H3K27ac	Fetal Intestine Small
rs2269239	chr1	64105674	64109808	Histone	H3K27ac	Fetal Intestine Large
rs2269239	chr1	64106580	64110240	Histone	H3K36me3	HUES64
rs2269239	chr1	64106880	64110980	Histone	H3K36me3	common myeloid progenitor CD34 positive
rs2269239	chr1	64106880	64110220	Histone	H3K4me1	Fetal Muscle Leg
rs2269239	chr1	64106880	64110800	Histone	H3K36me3	Fetal Adrenal Gland
rs2269239	chr1	64107140	64110340	Histone	H3K4me1	Fetal Intestine Small
rs2269239	chr1	64107300	64110140	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR337XXD 1
rs2269239	chr1	64107400	64110380	Histone	H3K36me3	neutrophil
rs2269239	chr1	64107700	64111860	Histone	H3K4me1	heart
rs2269239	chr1	64108460	64110140	Histone	H3K36me3	IMR 90
rs2269239	chr1	64108480	64110500	Histone	H3K36me3	Placenta
rs2269239	chr1	64108520	64110100	Histone	H3K36me3	Fetal Muscle Leg
rs2269239	chr1	64108520	64112220	Histone	H3K4me1	lung ENCSR465WKM
rs2269239	chr1	64108520	64110160	Histone	H3K4me1	Fetal Intestine Large
rs2269239	chr1	64108520	64110060	Histone	H3K36me3	common myeloid progenitor CD34 positive ENCSR722JRY
rs2269239	chr1	64108520	64110180	Histone	H3K36me3	Fetal Stomach
rs2269239	chr1	64108580	64110080	Histone	H3K4me1	Pancreas
rs2269239	chr1	64108625	64110086	Open Chromatin	DNase1	heart
rs2269239	chr1	64108640	64110100	Histone	H3K36me3	Fetal Intestine Small
rs2269239	chr1	64108640	64109380	Histone	H3K4me1	Psoas Muscle
rs2269239	chr1	64108652	64110067	Histone	H3K27ac	Fetal Stomach
rs2269239	chr1	64108660	64110060	Histone	H3K36me3	Spleen
rs2269239	chr1	64108660	64109800	Histone	H3K36me3	esophagus
rs2269239	chr1	64108680	64109440	Histone	H3K36me3	Fetal Intestine Large
rs2269239	chr1	64108682	64109491	Histone	H3K27ac	Small Intestine
